Epoch,Train_Loss,Val_Loss,Tip_X_mm,Tip_Y_mm,Alpha,LR,Status
1,0.27887,0.29711,0.41,0.24,0.863,1.2e-05,▼ BEST
2,0.25584,0.27339,0.37,0.21,0.861,1.4e-05,▼ BEST
3,0.23822,0.25754,0.33,0.19,0.858,1.5e-05,▼ BEST
4,0.2274,0.24884,0.32,0.18,0.854,1.7e-05,▼ BEST
5,0.22101,0.24366,0.3,0.17,0.85,1.9e-05,▼ BEST
6,0.21647,0.24058,0.29,0.16,0.846,2.1e-05,▼ BEST
7,0.21342,0.23849,0.29,0.16,0.843,2.3e-05,▼ BEST
8,0.21155,0.2368,0.28,0.16,0.841,2.4e-05,▼ BEST
9,0.21005,0.23541,0.28,0.15,0.838,2.6e-05,▼ BEST
10,0.20845,0.23441,0.28,0.15,0.836,2.8e-05,▼ BEST
11,0.20735,0.23348,0.27,0.15,0.834,3e-05,▼ BEST
12,0.20683,0.2326,0.27,0.15,0.832,3.2e-05,▼ BEST
13,0.20572,0.23191,0.27,0.15,0.83,3.3e-05,▼ BEST
14,0.20472,0.23129,0.27,0.14,0.828,3.5e-05,▼ BEST
15,0.20397,0.23092,0.27,0.14,0.826,3.7e-05,▼ BEST
16,0.20337,0.23031,0.26,0.14,0.824,3.9e-05,▼ BEST
17,0.20278,0.22994,0.26,0.14,0.822,4.1e-05,▼ BEST
18,0.20206,0.22929,0.26,0.14,0.821,4.2e-05,▼ BEST
19,0.20152,0.2287,0.26,0.14,0.818,4.4e-05,▼ BEST
20,0.20114,0.22815,0.26,0.14,0.816,4.6e-05,▼ BEST
21,0.20067,0.22781,0.26,0.14,0.814,4.8e-05,▼ BEST
22,0.19986,0.22763,0.26,0.14,0.811,5e-05,▼ BEST
23,0.1995,0.22638,0.26,0.14,0.807,5.1e-05,▼ BEST
24,0.1988,0.22654,0.26,0.14,0.803,5.3e-05,▲ +1
25,0.19839,0.22645,0.26,0.14,0.798,5.5e-05,▲ +1
26,0.19789,0.2254,0.26,0.14,0.793,5.7e-05,▼ BEST
27,0.19633,0.22465,0.26,0.14,0.785,5.9e-05,▼ BEST
28,0.19576,0.22527,0.26,0.14,0.778,6e-05,▲ +1
29,0.19545,0.22685,0.26,0.14,0.771,6.2e-05,▲ +1
30,0.1936,0.22279,0.26,0.14,0.762,6.4e-05,▼ BEST
31,0.19236,0.22291,0.26,0.14,0.754,6.6e-05,▲ +1
32,0.19263,0.22276,0.26,0.14,0.747,6.8e-05,▼ BEST
33,0.19007,0.22591,0.26,0.14,0.74,6.9e-05,▲ +1
34,0.19091,0.21924,0.26,0.14,0.736,7.1e-05,▼ BEST
35,0.18922,0.22021,0.26,0.14,0.73,7.3e-05,▲ +1
36,0.18961,0.21816,0.26,0.14,0.726,7.5e-05,▼ BEST
37,0.18767,0.22145,0.26,0.14,0.72,7.7e-05,▲ +1
38,0.18756,0.21821,0.26,0.14,0.715,7.8e-05,▲ +1
39,0.18667,0.21951,0.26,0.14,0.713,8e-05,▲ +1
40,0.18709,0.21957,0.26,0.14,0.71,8.2e-05,▲ +1
41,0.18383,0.21856,0.26,0.14,0.702,8.4e-05,▲ +1
42,0.18691,0.22005,0.26,0.14,0.701,8.6e-05,▲ +1
43,0.1841,0.21835,0.26,0.14,0.697,8.7e-05,▲ +1
44,0.1833,0.21721,0.26,0.14,0.694,8.9e-05,▼ BEST
45,0.18206,0.21898,0.26,0.14,0.687,9.1e-05,▲ +1
46,0.1821,0.2162,0.26,0.14,0.685,9.3e-05,▼ BEST
47,0.18333,0.22099,0.26,0.14,0.682,9.5e-05,▲ +1
48,0.18162,0.21471,0.26,0.14,0.679,9.6e-05,▼ BEST
49,0.18037,0.212,0.26,0.14,0.675,9.8e-05,▼ BEST
50,0.17981,0.21624,0.26,0.14,0.673,0.0001,▲ +1
51,0.17931,0.21246,0.26,0.14,0.669,0.0001,▲ +1
52,0.18093,0.21683,0.26,0.14,0.667,0.0001,▲ +1
53,0.17739,0.21693,0.26,0.14,0.665,0.0001,▲ +1
54,0.1787,0.21681,0.26,0.14,0.663,0.0001,▲ +1
55,0.17677,0.21276,0.26,0.14,0.661,0.0001,▲ +1
56,0.17754,0.21409,0.26,0.14,0.658,0.0001,▲ +1
57,0.17839,0.2148,0.26,0.14,0.658,0.0001,▲ +1
58,0.17548,0.21327,0.25,0.14,0.653,0.0001,▲ +1
59,0.17718,0.21135,0.26,0.14,0.653,0.0001,▼ BEST
60,0.17668,0.20982,0.25,0.14,0.651,0.0001,▼ BEST
61,0.17537,0.21366,0.26,0.14,0.645,0.0001,▲ +1
62,0.17562,0.21857,0.26,0.14,0.644,0.0001,▲ +1
63,0.17505,0.2217,0.26,0.14,0.644,0.0001,▲ +1
64,0.17495,0.21666,0.26,0.14,0.64,0.0001,▲ +1
65,0.17523,0.22157,0.25,0.14,0.636,0.0001,▲ +1
66,0.17505,0.20918,0.26,0.14,0.635,0.0001,▼ BEST
67,0.17201,0.21812,0.26,0.14,0.631,0.0001,▲ +1
68,0.1712,0.21297,0.26,0.14,0.628,0.0001,▲ +1
69,0.17078,0.20951,0.26,0.14,0.627,0.0001,▲ +1
70,0.17155,0.20371,0.25,0.14,0.623,0.0001,▼ BEST
71,0.1709,0.20932,0.26,0.14,0.621,0.0001,▲ +1
72,0.17106,0.20318,0.26,0.14,0.616,0.0001,▼ BEST
73,0.17157,0.20203,0.25,0.14,0.618,0.0001,▼ BEST
74,0.16919,0.21511,0.25,0.14,0.612,0.0001,▲ +1
75,0.16982,0.20367,0.25,0.14,0.612,0.0001,▲ +1
76,0.16896,0.20565,0.26,0.14,0.607,0.0001,▲ +1
77,0.16936,0.20119,0.25,0.14,0.606,0.0001,▼ BEST
78,0.16853,0.20813,0.26,0.14,0.61,0.0001,▲ +1
79,0.17072,0.20192,0.25,0.14,0.604,0.0001,▲ +1
80,0.1692,0.19982,0.26,0.14,0.603,0.0001,▼ BEST
81,0.1669,0.1981,0.25,0.13,0.601,0.0001,▼ BEST
82,0.16569,0.21092,0.25,0.14,0.596,0.0001,▲ +1
83,0.16604,0.20996,0.25,0.14,0.59,0.0001,▲ +1
84,0.16614,0.20403,0.25,0.14,0.591,0.0001,▲ +1
85,0.16414,0.20507,0.26,0.14,0.587,0.0001,▲ +1
86,0.16368,0.20741,0.25,0.14,0.581,0.0001,▲ +1
87,0.16361,0.20103,0.25,0.14,0.58,0.0001,▲ +1
88,0.1651,0.21093,0.25,0.14,0.58,0.0001,▲ +1
89,0.1645,0.20423,0.25,0.14,0.578,0.0001,▲ +1
90,0.16403,0.20732,0.25,0.13,0.573,0.0001,▲ +1
91,0.16147,0.20192,0.25,0.14,0.568,0.0001,▲ +1
92,0.16414,0.20382,0.25,0.13,0.562,0.0001,▲ +1
93,0.1664,0.19851,0.25,0.13,0.561,0.0001,▲ +1
94,0.1651,0.20443,0.25,0.13,0.561,0.0001,▲ +1
95,0.1617,0.19672,0.26,0.14,0.557,0.0001,▼ BEST
96,0.1652,0.19326,0.25,0.13,0.558,0.0001,▼ BEST
97,0.16182,0.2051,0.25,0.14,0.554,0.0001,▲ +1
98,0.16157,0.19655,0.25,0.14,0.55,0.0001,▲ +1
99,0.16203,0.20238,0.25,0.14,0.547,0.0001,▲ +1
100,0.16111,0.19931,0.25,0.13,0.544,0.0001,▲ +1
101,0.16117,0.20309,0.25,0.13,0.545,0.0001,▲ +1
102,0.16023,0.21009,0.25,0.13,0.542,0.0001,▲ +1
103,0.16081,0.20341,0.25,0.13,0.54,0.0001,▲ +1
104,0.1605,0.20544,0.25,0.13,0.536,0.0001,▲ +1
105,0.15978,0.20433,0.25,0.13,0.532,0.0001,▲ +1
106,0.15969,0.2069,0.25,0.13,0.533,0.0001,▲ +1
107,0.1627,0.20326,0.25,0.13,0.53,0.0001,▲ +1
108,0.15941,0.2018,0.25,0.13,0.531,0.0001,▲ +1
109,0.16108,0.20318,0.25,0.13,0.528,0.0001,▲ +1
110,0.15868,0.20334,0.25,0.13,0.523,0.0001,▲ +1
111,0.15635,0.19496,0.25,0.13,0.52,0.0001,▲ +1
112,0.15808,0.20883,0.25,0.13,0.518,0.0001,▲ +1
113,0.15896,0.1977,0.25,0.13,0.518,0.0001,▲ +1
114,0.15512,0.19465,0.25,0.13,0.515,0.0001,▲ +1
115,0.15527,0.20494,0.25,0.13,0.512,0.0001,▲ +1
116,0.15469,0.19864,0.26,0.14,0.51,0.0001,▲ +1
117,0.15922,0.21175,0.25,0.13,0.51,0.0001,▲ +1
118,0.15655,0.19852,0.26,0.14,0.506,0.0001,▲ +1
119,0.15757,0.19669,0.25,0.13,0.504,0.0001,▲ +1
120,0.15863,0.2059,0.25,0.14,0.5,0.0001,▲ +1
121,0.15299,0.19377,0.25,0.13,0.498,0.0001,▲ +1
122,0.15659,0.19616,0.27,0.15,0.5,0.0001,▲ +1
123,0.15802,0.21132,0.25,0.13,0.497,0.0001,▲ +1
124,0.15611,0.20787,0.25,0.13,0.494,0.0001,▲ +1
125,0.15581,0.20526,0.26,0.14,0.497,0.0001,▲ +1
126,0.16049,0.19465,0.25,0.13,0.493,0.0001,▲ +1
127,0.15433,0.20546,0.25,0.13,0.491,0.0001,▲ +1
128,0.15728,0.19889,0.25,0.13,0.49,0.0001,▲ +1
129,0.15681,0.19655,0.25,0.13,0.487,0.0001,▲ +1
130,0.15166,0.19746,0.25,0.13,0.485,0.0001,▲ +1
131,0.15084,0.19514,0.25,0.14,0.481,0.0001,▲ +1
132,0.15608,0.19922,0.25,0.13,0.485,0.0001,▲ +1
133,0.15423,0.2125,0.25,0.13,0.482,0.0001,▲ +1
134,0.15466,0.1969,0.25,0.13,0.481,0.0001,▲ +1
135,0.15212,0.18315,0.25,0.13,0.475,0.0001,▼ BEST
136,0.15069,0.19782,0.25,0.13,0.474,0.0001,▲ +1
137,0.15306,0.20627,0.25,0.13,0.475,0.0001,▲ +1
138,0.15081,0.20529,0.25,0.13,0.471,9.9e-05,▲ +1
139,0.15362,0.20303,0.25,0.13,0.469,9.9e-05,▲ +1
140,0.15326,0.21673,0.25,0.13,0.466,9.9e-05,▲ +1
141,0.15484,0.20344,0.25,0.14,0.464,9.9e-05,▲ +1
142,0.15422,0.20473,0.25,0.13,0.462,9.9e-05,▲ +1
143,0.15378,0.19667,0.25,0.13,0.462,9.9e-05,▲ +1
144,0.15306,0.1955,0.25,0.13,0.458,9.9e-05,▲ +1
145,0.15055,0.19732,0.25,0.13,0.454,9.9e-05,▲ +1
146,0.15154,0.19346,0.25,0.13,0.454,9.9e-05,▲ +1
147,0.14594,0.18807,0.26,0.14,0.448,9.9e-05,▲ +1
148,0.1553,0.18527,0.25,0.13,0.448,9.9e-05,▲ +1
149,0.15294,0.20015,0.25,0.13,0.448,9.9e-05,▲ +1
150,0.14654,0.1844,0.25,0.13,0.442,9.9e-05,▲ +1
151,0.14279,0.1858,0.25,0.13,0.437,9.9e-05,▲ +1
152,0.14759,0.20432,0.25,0.13,0.432,9.9e-05,▲ +1
153,0.14778,0.20658,0.25,0.13,0.43,9.9e-05,▲ +1
154,0.15012,0.20258,0.25,0.13,0.431,9.9e-05,▲ +1
155,0.14622,0.21045,0.25,0.13,0.429,9.9e-05,▲ +1
156,0.15006,0.20838,0.25,0.13,0.428,9.9e-05,▲ +1
157,0.14222,0.18695,0.25,0.13,0.422,9.9e-05,▲ +1
158,0.14832,0.19711,0.25,0.13,0.42,9.9e-05,▲ +1
159,0.14764,0.19725,0.25,0.13,0.418,9.9e-05,▲ +1
160,0.14635,0.18745,0.25,0.13,0.417,9.9e-05,▲ +1
161,0.14666,0.1947,0.25,0.13,0.414,9.9e-05,▲ +1
162,0.14247,0.20855,0.25,0.13,0.411,9.9e-05,▲ +1
163,0.14884,0.18366,0.25,0.13,0.409,9.9e-05,▲ +1
164,0.14253,0.20701,0.25,0.13,0.408,9.9e-05,▲ +1
165,0.15328,0.20096,0.25,0.13,0.408,9.9e-05,▲ +1
166,0.14527,0.19489,0.25,0.13,0.41,9.9e-05,▲ +1
167,0.14837,0.18998,0.25,0.13,0.411,9.9e-05,▲ +1
168,0.14111,0.20128,0.26,0.14,0.407,9.9e-05,▲ +1
169,0.14556,0.1879,0.26,0.13,0.406,9.9e-05,▲ +1
170,0.14821,0.18696,0.25,0.13,0.408,9.9e-05,▲ +1
171,0.14777,0.21078,0.25,0.13,0.412,9.9e-05,▲ +1
172,0.14461,0.19661,0.25,0.13,0.409,9.9e-05,▲ +1
173,0.13981,0.20027,0.25,0.13,0.405,9.9e-05,▲ +1
174,0.13964,0.20729,0.25,0.13,0.402,9.9e-05,▲ +1
